,体験受入法人等,代表者,所在地,ホームページ,売上高,従業員数,経営主作目・事業内容,経営理念と将来の事業展開・ビジョン,有機農業に対する考えや取り組み,作物種別,体験可能作目,体験場所,体験担当者,受入可能時期と内容,1回の受入可能期間,高校生の受入,社会人の週末等コースの受入,提供できる住居,食事提供の方法,採用計画,アクセス,自動車免許,服装など準備すべき物,登録にあたっての考え,参加者の目的で重視すること,メッセージ：どんなことを学べるか
62,伊達物産（株）,清水　建志,福島県伊達市梁川町南町谷川,http://www.datebussan.co.jp/,非公表,190人,食肉製造販売,農は国の基なり　直営農場の新設,,肉用鶏の飼育,肉用鶏の飼育,宮城県伊具郡丸森町小斎字小佐田,大橋　祐一,7月～10月：入雛　給餌　給餌自動化　鶏舎内温度管理　給水器内清掃　ワクチン投与　体重測定 または、　出荷後の鶏舎掃除　水洗　消毒作業　 ※育雛が年3回から4回のため、その時の鶏の日齢で体験内容が変わる。,2日日〜,可,不可,その他　事務所兼宿直室,自炊（食費補助）,有,阿武隈急行　角田駅から車15分,必要,農作業に適した服装（Tシャツは1日2～3回換えます）　タオル（帽子、手袋、マスク、長靴は貸与）,従業員の確保,就職先検討,協調性と忍耐力
63,（有）花雅,渡部　丑雄,福島県耶麻郡猪苗代町川桁字元幸野,http://www.hana-masa.jp/tyuumon.html,"16,000万円",26人,花壇苗、野菜苗、鉢花、ミニトマト、キャベツ、ブルーベリー,地域に根付いた経営、環境にやさしい経営、おごることなく自ら追求していく経営、常に挑戦者の姿勢,試作中,ミニトマト、キャベツ、花苗,ミニトマト、キャベツ、花苗,,渡部雅幸,通年可能,2日日〜,可,可,経営者宅に間借り,経営者等家族と一緒,有,JR磐越西線　川桁駅徒歩5分,必要,農作業に適した服装,農業体験・理解者の増加,農業体験、就職先検討,明るく、元気な方
64,（有）アクト農場,関　治男,茨城県東茨城郡茨城町城之内,http://www.act-farm.com/,"41,800万円",14人（パート除く）,葉物野菜の栽培、販売,地域にイノベーションをおこす,有機の効率が良いところを取り入れる,栽培している全作目,栽培している全作目,,雨谷（あまがい）　省吾,通年可能,2日日〜,可,可,社宅・寮等 　社宅・寮等、経営者宅に間借り,経営者等家族と一緒,有,常磐線羽鳥駅または水戸駅,,農作業に適した服装,農業体験・理解者の増加、従業員の確保、体験生の確保,農業体験、就職先検討,コミュニケーションがきちんと取れる人
65,イオンアグリ創造（株）茨城牛久農場,福永　庸明,茨城県牛久市井ノ岡町,http://www.aeon.jp/agricreate/,非公表,約550人,キャベツ・はくさい・こまつな、おくら・ミディトマト・エダマメ,安全・安心、お手頃価格、新鮮な野菜をイオンに安定供給することでお客さま満足の向上を目指しています。今後もイオン直営農場を全国に展開していきます。,特になし,ミディトマト以外全て可能,ミディトマト以外全て可能,,倉持　草人,5～8月、11～12月,5日日〜,不可,可,通いのみ受け入れ、ホテル・ウイークリーマンション(長期時),その他　1日1000円の食費補助,無,JR常磐線牛久駅より車20分,必要,長靴、雨合羽等の雨具、帽子、タオル、水筒,従業員の確保,就職先検討,大規模農業に関心がある方、チームで仕事ができる方
66,（株）ヴァレンチア,池之上　透,茨城県笠間市泉,http://www.valentia.jp,7800万円,25人,葉物野菜の生産販売,有機農法による安全な野菜の生産,,小松菜、ほうれん草、ルッコラ,小松菜、ほうれん草、ルッコラ,,池之上　透,通年可能,1週間〜,可,可,社宅・寮等,自炊（食費補助）,有,常磐線岩間駅,,農作業に適した服装、長靴、手袋、タオル,従業員の確保,就職先検討,まじめで体力に自信がある人
67,（株）大嶋農場,大嶋　康司,茨城県筑西市桑山,http://www.hyakusyoumai.com/,9000万円,6人,稲作（生産・加工・販売）,お客様のニーズに応え多品種栽培し販売。田植えから収穫まで。酒米に関してはお酒まで。自分が関わったお米、お酒で至福の時を。,環境・身体に優しい農業,稲、米,稲、米,,大嶋、中川,通年可能：農業、米の販売、イベント、5～6月：田植え、9～10月：稲刈り,5日日〜,不可,可,経営者宅に間借り,経営者等家族と一緒,有,JR水戸線　下館駅,なくても可,農作業に適した服装,従業員の確保,農業体験、就職先検討,やる気
68,（株）オール・アグリーム,篠_　勝彦,茨城県坂東市寺久,,"7,000万円",9人,野菜（レタス、ネギ、きゅうり、カゴメトマト）,高品質、安定供給,なし,レタス、ネギ、きゅうり、トマト,レタス、ネギ、きゅうり、トマト,,篠_勝彦,通年可能：播種～収穫までを体験できます。,2日日〜,可,可,,自炊（食費補助）,無,車,必要,農作業に適した服装,農業体験・理解者の増加、従業員の確保、体験生の確保,農業体験、就職先検討,熱心であること
69,（有）くらぶコア,五十野　和樹,茨城県行方郡北浦町次木,https://ja-jp.facebook.com/152959661534822/photos/a.158906030940185.1073741828.152959661534822/46809,18000万円,23人,さつも芋・人参・ほうれん草など,農業を職業選択の一つとして選んでもらいたい,オーガニックを求める人に届けたい,年間20品目ほど,年間20品目ほど,,若栗　亮,通年可能：収穫作業、パックでの作業、除草作業,2日〜,可,可,社宅・寮等,その他　自炊（食材提供・食費補助）,有,土浦駅から30分、新鉾田駅から15分,必要,農作業に適した服装,農業体験・理解者の増加、従業員の確保、体験生の確保,農業体験、就職先検討,分からないことを質問できる人
70,（有）三和園芸,鈴木　隆,茨城県古河市仁連,,"17,500万円",43人,ほおずき、君子欄、シクラメン、多肉類、屋上緑化、委託野菜苗、花苗,人々の暮らしにゆとりとうるおいを提供する花づくりや屋上緑化事業を通して自然との共生を目指す企業でありたい,,季節により異なる,季節により異なる,夏季：栃木県日光市中宮祠,鈴木　京子,通年可能：多肉類・屋上緑化、春：委託苗の生産出荷、夏：ほおずき山上げ、秋：鉢花の出荷・生産,2日日〜,可,不可,経営者宅に間借り,経営者等家族と一緒,無,日光駅下車,,農作業に適した服装、雨具,農業体験・理解者の増加,農業体験、就職先検討,どういう方向を目指すべきか現場で現物を現実に観て、今後に質する体験としてほしい。
71,（有）サンワアグリビジネス,竹村　正義,茨城県古河市長左エ門新田,,"45,000万円",3人,白菜、レタス、青ネギ,安心、安全な栽培の方向で栽培している。,有機質肥料栽培はやっている。,レタス、白菜、キャベツ、青ネギ、枝豆,レタス、白菜、キャベツ、青ネギ、枝豆,境町蛇池、板東逆井,石井、馬場,通年可能：月々の茨城の栽培方法の取得ができる　　2月～11月：レタス 春・秋作収穫作業体験　11月～6月：キャベツ・白菜の収穫作業体験　1月～12月：青ネギ収穫体験及び管理作業体験,2日日〜,可,可,社宅・寮等,その他　自炊（食材提供）、自炊（食費補助）,有,宇都宮線古河駅→JAバスで大網から徒歩2ｋｍ,,農作業に適した服装,農業体験・理解者の増加、従業員の確保、体験生の確保,農業体験、就職先検討,農作物を育て収穫時体験できる
72,（有）スズキファーム,鈴木　憲一,茨城県水戸市谷津町,http://suzuki-farm.net/,"148,002万円",53人,鶏卵,社員一人ひとりが自分で考える会社、お客様の食卓に安心して美味しく食べられる卵を適正価格で届けること,,鶏卵、ひよこ,鶏卵、ひよこ,,永瀬　征史,通年可能：鶏の管理,2日日〜,可,可,社宅・寮等,自炊（食費補助）,有,内原駅より徒歩40分　自転車20分,,,従業員の確保,農業体験、就職先検討,自らの役割をしっかりと果たす人
73,（株）つくば良農,武田　泰明,茨城県つくば市稲荷原,,"12,900万円",7人,キャベツ栽培,消費者・従業員にも安全で働きやすい農場を目指す,,キャベツ,キャベツ,,青木,7～9月・11～2月／8月～9月：キャベツの苗管理・定植、11月～2月：キャベツの収穫、農繁期：7月～9月初,2日日〜,可,可,その他　要相談,自炊（食費補助）,有,牛久駅・みどりの駅から車で15分,,,農業体験・理解者の増加、従業員の確保、体験生の確保,農業体験、就職先検討,農業に真剣に取り組める方
74,（株）Tedy,林　俊秀,茨城県水戸市小吹町,http://tedy.jp,非公表,20人,パプリカ・レタスの生産と販売,笑顔の食卓づくり 　買っていただいた消費者の方にも、働く社員にも、笑顔を届けられる会社　＜将来の事業展開・ビジョン＞より高度なパプリカ栽培、レタスの規模拡大,天敵や防虫網・シートにより農薬削減,パプリカ、レタス,パプリカ、レタス,,林　大地,通年可能：パプリカ・レタスの栽培管理、収穫・出荷作業,2日日〜,可,可,社宅・寮等,その他　その他（外国人研修生と一緒）,有,JR常磐線水戸駅からバス利用,必要,農作業に適した服装（作業ズボン・Tシャツ・スニーカー・タオル・帽子）、手袋,農業体験・理解者の増加、従業員の確保、体験生の確保,就職先検討,自ら考え、工夫発想し、活動できる人
75,（株）照沼勝一商店,照沼　勝浩,茨城県那珂郡東海村照沼,http://www.hoshiimo.co.jp,"19,000万円",40人,さつまいも、無農薬無化学栽培、干し芋加工販売、商品開発、直売所営業,人の元気と健康のもとであること。それが目標です。食を提供する会社としてしなくてはならないことに真摯に取り組んで参ります。,取組み中、自然栽培を目指しています。,サツマイモ、干しいも（加工体験）,サツマイモ、干しいも（加工体験）,,照沼　勝浩,通年可能：水稲・サツマイモの栽培管理、干し芋加工作業全般を1年を通じて体験、農繁期：5月～7月：サツマイモの定植、圃場の除草及び管理、10月～11月：収穫、12月～3月：干し芋加工,2日日〜,可,不可,経営者宅に間借り,その他　経営者家族と一緒,有,常磐線東海駅⇒バス（茨城交通）⇒東病院前⇒徒歩5分,,農作業に適した服装、長靴、手袋,従業員の確保,就職先検討,健康、農業に関心があり、やる気のある方
76,（公社）日本国民高等学校協会,加藤　達人,茨城県水戸市内原町,https://nnjg.ac.jp/,10，000万円,24人,稲、野菜、乳牛、肉牛、豚、鶏卵他,ひとに喜ばれる農産物の生産,JAS認証圃場50a保有<BR>,稲、野菜（40品目）、牛、豚,稲、野菜（40品目）、牛、豚,,籾山　旭太,通年可能：農作業全般（季節により限定されることがあります）　農繁期：5月～,2日〜,可,不可,社宅・寮等,その他　学生食堂,無,JR常磐線内原駅,,農作業に適した服装、長靴、雨合羽、手袋,農業体験・理解者の増加、従業員の確保、体験生の確保,農業体験,生き物に対して真面目に向き合う人
77,（株）HATAKEカンパニー,木村　誠,茨城県つくば市西高野,,"100,000万円",154人,ベビーリーフ、コリアンダー、根菜の生産・製造、葉もの野菜,農業人の育成を通して地方経済の活性化,JGAP、有機認証の取得,ベビーリーフ、コリアンダー、根菜,ベビーリーフ、コリアンダー、根菜,,雨宮　はまざと,通年可能,5日日〜,不可,可,社宅・寮等 　社宅・寮等（男子のみ）,自炊（食費補助）,有,研究学園駅、車,,,従業員の確保,農業体験、就職先検討,明るく元気でまじめに取り組める
78,（株）ひたち農園,根本　茂幸,茨城県常陸大宮市大岩,http://www.okukujiran.com/company/,125000万円,49人,養鶏業,従業員とお客様を大切に、地域社会に貢献する,,養鶏の包装、集卵,養鶏の包装、集卵,所在地および水戸加工センター,塩原　明,5～7月・9～11月：養鶏の集卵・包装・出荷・加工品の製造・出荷,2日日〜,可,可,経営者宅に間借り,経営者等家族と一緒,有,水戸駅より送迎,必要,,農業体験・理解者の増加、従業員の確保、体験生の確保,就職先検討,明るく元気で素直
79,協同組合ふきのとう,五十野　節雄,茨城県行方市次木,,"20,000万円",50人（うち経営者（組合員）6名）,有機野菜栽培中心にカット、洗い,持続可能な農業を行い、6次産業にも積極的に取り組んでいく,お客様に安心な食を届け、環境に負荷をかけない農業を行う,時期の有機野菜,時期の有機野菜,会社付近の圃場,受入担当：高埜,通年可能：収穫、葉取り、袋詰め、種蒔など,2日日〜,可,可,社宅・寮等,自炊（食材提供）,有,JR石岡駅、土浦駅,必要,農作業に適した服装、長靴、布団,農業体験・理解者の増加、従業員の確保、体験生の確保,農業体験、就職先検討,農業に情熱を持っている人
80,ほしいも(株),橋本　年雄,茨城県那珂郡東海村須和間,https://www.hoshiimo.tv/,15000万円,20人,ぶどう・甘藷,皆さんにおいしいと喜んで頂ける商品を作る。,堆肥、油かすの他有機入り肥料,ぶどう・甘藷どちらもＯＫ,ぶどう・甘藷どちらもＯＫ,,橋本　年雄,4～11月／4～6月：甘藷の苗植え・ぶどう手入れ、6～8月：甘藷・ぶどうの圃場管理、9～11月：甘藷・ぶどうの収穫と販売,5日日〜,可,可,社宅・寮等,経営者等家族と一緒,有,常磐線勝田駅　又は東海駅,必要,農作業に適した服装、長靴、手袋,その他　農業体験・理解者の増加、従業員・体験生の確保、その他（干し芋ＰＲ）,就職先検討,前向きでチャレンジ精神旺盛な方
81,（株）みずほ,長谷川　久夫,茨城県つくば市柳橋,http://mizuhonomuraichiba.com,"63,000万円",約20人,農産物・農産物加工品・無添加食品・切花・花卉・園芸資材・肥料販売、蕎麦（そばや）、体験農園,農業を産業にするために、農家が品質で勝負するためのステージを直売所を通じて提供します。その責任を果たすことで、農家が再生産できる価格決定権を持つこと、これこそが農業を産業にするための絶対条件です。,土壌分析による適切量の施肥を中心に、植物の生体分析など品質を向上させる取り組みを行っている。,野菜全般（ミニトマト、キュウリ、トウモロコシ、ホウレンソウ、他）,野菜全般（ミニトマト、キュウリ、トウモロコシ、ホウレンソウ、他）,みずほ直営農場（直売所近く）,川上（農場担当）,通年可能：収穫、調整、マルチ敷き、播種、定植など,2日日〜,可,可,その他　研修棟あり,その他　昼食は提供、朝・夕は自炊,無,つくばエクスプレス　万博記念公園駅より車で5分,必要,農作業に適した服装、園芸用背抜き手袋（3つ以上ある良い）、長靴、雨具,農業体験・理解者の増加,その他　農業体験、研修生・週末農業希望者,本物野菜に興味のある方、農業が好きな方、農業での独立を志望する方
82,（株）レインボーフューチャー,大和田　忠,茨城県筑西市舟生,,700万円,50人,自然栽培、有機野菜の生産,本人が独立する場合、畑を貸したり、技術指導。,現在生産しています。,ベビーリーフ、人参、その他,ベビーリーフ、人参、その他,,,通年可能：栽培、出荷,2日日〜,可,可,社宅・寮等,自炊（食費補助）,有,水戸線玉戸駅,,自転車貸与,農業体験・理解者の増加、従業員の確保、体験生の確保,就職先検討,真面目
83,（株）れんこん三兄弟,宮本　貴夫,茨城県稲敷市浮島,https://www.renkon3kyodai.com/,"7,800万円",17人,蓮根の生産と販売,農業を通じてスタッフと社会を幸せにする,準備中,蓮根,蓮根,,新海洋介,7月～3月：蓮根の収穫と出荷作業(12月を除く)、農繁期：4月～6月,2日日〜,可,可,社宅・寮等,自炊（食費補助）,有,東京から車で90分、上野から約1時間で常磐線ひたち野うしく駅下車後、車で40分,,長靴,農業体験・理解者の増加、従業員の確保、体験生の確保,農業体験、就職先検討,分からないことをしっかり伝える行動ができる人物
84,（有）ワールドファーム,上野　裕志,茨城県つくば市谷田部,https://www.world-farm.co.jp/,"104,884.8万円",68人,露地野菜の栽培、食品加工,野菜の長期安定供給と担い手育成,最終的に需要があれば,キャベツ系,キャベツ系,,櫻井　勇人,通年可能：時期によるのでご相談下さい。,2日日〜,可,,社宅・寮等 　社宅・寮等、経営者宅に間借り,自炊（食費補助）,有,つくばエクスプレス線みどりの駅,必要,農作業に適した服装,農業体験・理解者の増加、従業員の確保、体験生の確保,農業体験、就職先検討,農業の道を目指す者
85,中居農園,中居　鋭起,茨城県鉾田市鹿田,,"8,000万",19人,葉物野菜,規模拡大・法人化,化学肥料や農薬の低減,水菜,水菜,,中居鋭起,通年可能（野菜収穫作業・梱包作業・トラクターなど重機作業）,3日日〜,可,可,社宅・寮等 　社宅・寮の空があれば可。基本通勤。,自炊（食費補助）,有,鹿島臨海鉄道（鹿島旭駅）徒歩10分,必要,作業服・靴,農業体験・理解者の増加、従業員の確保、体験生の確保,就職先検討,真面目・素直・積極的
86,きりちゃんふぁ～む,中山 初夫,茨城県常総市岡田,https://kiritonoheya.exblog.jp/,"3,000万円",5人,きゅうり、ズッキーニ、グリーンカール,各々の能力を最大限に活かし、幅広い意味での農業を構築。,当分は減農薬,ズッキーニ（場合によりきゅうり）,ズッキーニ（場合によりきゅうり）,,中山 嘉一,通年可能：9月はズッキーニの収穫～出荷、または栽培管理。農繁期：4～7月,2日日〜,可,可,その他　近隣で賃貸,自炊（食費補助）,有,関東鉄道常総線「石下」駅（場合によっては送迎あり）,必要,動きやすい格好と着替え,農業体験・理解者の増加、従業員の確保、体験生の確保,農業体験,自発的に楽しめる人
87,（株）久松農園,久松 達央,茨城県土浦市高岡,http://hisamatsufarm.com/,4500万,9人,野菜(年100品目以上),少量多品目、露地、有機、直販,すべての作目を有機栽培,時期による,時期による,,十川（そごう）,通年可能,2日日〜,可,不可,社宅・寮等,自炊（食材提供）,有,土浦駅からバスで20分程度,なくても可,作業できる服装、長靴,農業体験・理解者の増加,農業体験、就職先検討,就職の有無に関わらずどなたでも
88,(株)田口農園,田口　真作,茨城県鉾田市勝下,https://ja-jp.facebook.com/taguchifarm/,6，800万円,16人,ほうれん草、小松菜、ねぎ,土と人を大切にした持続可能な農業を目指します。,できる限り、農薬を減らす努力をしています。,ほうれん草、小松菜、ねぎ,ほうれん草、小松菜、ねぎ,,田口　真作,通年可能：ほうれん草、小松菜、ねぎ,2日〜,可,可,社宅・寮等,自炊（食材提供）,有,マイカーまたは鹿島臨海鉄道鹿島旭駅（送迎は応相談）,なくても可,農作業に適した服装、長靴、雨具、水筒,農業体験・理解者の増加、従業員の確保、体験生の確保,農業体験、就職先検討,会社の雰囲気を感じて下さい。やる気のある方を待ってます。
89,つくばさわやかファーム,坂本　宏,茨城県つくば市小茎,https://www.tsukubasawayakafarm.com/,,16人,ネギ,地域の皆さまから愛される葱農家を目指します。,-,ネギ,ネギ,,坂本　宏,通年可能：ネギの作業全般,2日日〜,可,可,社宅・寮等,その他　昼食代500円のみ支給（一軒家の寮に台所有・近隣にコンビニ有）,有,"最寄り駅:常磐線　牛久駅,最寄りバス停:茎崎窓口センタ－",必要,農作業に適した服装、長靴、雨具、手袋、水筒,従業員の確保,就職先検討,元気があって、自ら行動を起こす積極的な方。
90,(株)エー・アイカンパニー,松岡　美香,茨城県那珂市何山,,700万円,10人,じゃがいも、ニラ、ニンニク、ネギ、トマト、白菜、キャベツ、ブロッコリー、八頭、ショウガ、レタス、ホウレン草、カブ、小松菜、春菊、人参,将来は自社販売,1950年以前の農業に立ち帰る。,じゃがいも、ニラ、ニンニク、ネギ、トマト、白菜、キャベツ、ブロッコリー、八頭、ショウガ、レタス、ホウレン草、カブ、小松菜、春菊、人参,じゃがいも、ニラ、ニンニク、ネギ、トマト、白菜、キャベツ、ブロッコリー、八頭、ショウガ、レタス、ホウレン草、カブ、小松菜、春菊、人参,茨城県那珂市中台,弓場、渡引,通年可能：野菜収穫・袋詰め、除草、種まき（露地野菜・ハウス野菜は同率）。週末コースは土祝(日曜以外)対応,2日日〜,可,可,,その他　弁当持参,有,JR水郡線・常陸津田駅から徒歩約15分,なくても可,農作業に適した服装、長靴、ゴム手袋、帽子,従業員の確保,農業体験、就職先検討のどちらでもよい,ネギ・葉物収穫・種植付に興味ある方
91,(株)菊地農園塾,菊地　康等,茨城県常総市崎房,http://kikuchinouenjyuku.com/,1億２千万円,13人,レタス、キャベツ、ネギ、ズッキーニなどの露地野菜の収穫・種まき・出荷作業・運搬・仕分けおよびその他付随する業務,農業を魅力ある職業にすること。,安心安全、おいしい野菜なら有機にこだわることはない。,レタス、キャベツ、ネギ、ズッキーニなどの露地野菜の収穫・種まき・出荷作業・運搬・仕分けおよびその他付随する業務,レタス、キャベツ、ネギ、ズッキーニなどの露地野菜の収穫・種まき・出荷作業・運搬・仕分けおよびその他付随する業務,,菊地　康等,通年可能：露地野菜(レタス10～6月、キャベツ5～7月、ネギ1年中、ズッキーニ6・7月他)の収穫・種まき・出荷作業・運搬・仕分けおよびその他付随する業務,2日日〜,可,可,社宅・寮等,その他　食費補助（上限：昼千円・夜千円）、自炊可,有,関東鉄道常総線・石下駅から車で10分（送迎あり・要相談）,なくても可,農作業に適した服装、長靴、雨具、手袋、水筒、帽子,農業体験・理解者の増加,農業体験,好奇心を持って行動できる方。
92,イオンアグリ創造（株）栃木宇都宮農場,福永　庸明,栃木県宇都宮市上籠谷町,http://www.aeon.jp/agricreate/,非公表,約550人,キャベツ・白ねぎ・スナップエンドウ・ほうれん草（施設・露地）,安全・安心、お手頃価格、新鮮な野菜をイオンに安定供給することでお客さま満足の向上を目指しています。今後もイオン直営農場を全国に展開していきます。,特になし,キャベツ、白ネギ,キャベツ、白ネギ,,岡　航平,４～2月,5日日〜,不可,不可,,その他　1日1000円の食費補助,有,JR東北本線宇都宮駅より車で25分,必要,長靴、カッパなどの雨具、帽子、タオル、水筒など,農業体験・理解者の増加,農業体験,大規模農業に関心がある方、チームで仕事ができる方
93,（有）ウェルシーファーム,竹内　博夫,栃木県那須郡那須町豊原丙,http://www.wealthyfarm.com/,"110,000万円",54人,酪農業、和牛繁殖、肥育,モノ、心両面豊かになる,,酪農・繁殖・肥育・飼料,酪農・繁殖・肥育・飼料,,竹内博夫,通年可能：搾乳、哺乳、乳牛の管理,2日日〜,可,可,社宅・寮等,その他　外国人実習生と一緒（費用なし）,有,ＪＲ黒田原駅,,農作業に適した服装,農業体験・理解者の増加、従業員の確保、体験生の確保,農業体験、就職先検討,素直・まじめ
94,戸崎農園（株）,戸崎　裕民,栃木県下都賀郡壬生町壬生丁,,1600万円,15人,さつま芋、かんそう芋加工,,有機JAS,さつま芋,さつま芋,,,6～11月、12～2月。農繁期：10～3月,2日日〜,可,可,社宅・寮等,自炊（食費補助）,,東部宇都宮線国谷駅、JR石橋駅,必要,,農業体験・理解者の増加,農業体験,口数多い人物不可
95,（有）那須高原今牧場,今　耕一,栃木県那須郡那須村大字高久甲,http://www.ima-farm.com/,"22,000万円",11人,乳肉複合経営、乳製品加工,創造と前進を経営理念とし、前向きに経営しています。消費者、地域との交流を大切にします。来年は自慢の牛乳でチーズ工房をたちあげます。,現在、減農薬、減化学肥料に取組んでいます。,酪農体験の他に山羊搾乳とチーズづくり体験,酪農体験の他に山羊搾乳とチーズづくり体験,,今耕一、今知成、高橋雄幸,通年可能：搾乳、ベッドメイキング、飼養管理、チーズ関連,2日日〜,可,可,社宅・寮等,経営者等家族と一緒,有,JR黒磯駅からバスで田代小学校前下車（バス停から送迎あり）,,農作業に適した服装,農業体験・理解者の増加、従業員の確保、体験生の確保,農業体験、就職先検討,元気とやる気のある人物
96,（株）長谷川農場,長谷川　良光,栃木県足利市県町,https://hasegawa-noujou.jp/,4500万円,8人,肥育牛・米麦・アスパラガス・玉ねぎ,「みせる」農業の実践（見せる、観せる、魅せる）,特にこだわりなし,畜産、アスパラガス、玉ねぎ,畜産、アスパラガス、玉ねぎ,,長谷川　大地（取締役）,通年可能：畜産（肥育牛のエサやりなど）、3～9月（アスパラガスの収穫・管理）、5～6月（玉ねぎの収穫）,2日日〜,可,可,経営者宅に間借り,その他　経営者等家族と一緒か自炊（食費補助）,有,東武伊勢崎線・県駅（あがた駅）,,農作業に適した服装,従業員の確保,就職先検討,農業が好き、やってみたい、意欲がある人
97,農事組合法人　茂木農産,小堀　昌仁,栃木県芳賀郡茂木町天子,,"9,000万円",25人,野菜：なす、大根、小松菜、ほうれん草、いちご、トマト、他,私たちは「健康な野菜」づくりを通じて、日本の食の一端を支えていきます。,自然界の菌を活用した土づくりにこだわり、できるだけ農薬に頼らない農法で野菜を中心に生産しています。,なす、大根、小松菜、等（受け入れ季節により異なります）,なす、大根、小松菜、等（受け入れ季節により異なります）,栃木県芳賀郡茂木町大字牧野３４２０,石塚　美槻(ﾐﾂｷ)・小堀　尊寛(ﾀｶﾋﾛ),通年可能：季節の野菜を路地・ハウスにて、育苗、土づくり、定植、管理、収穫、選定・出荷等の各作業,2日日〜,可,可,その他　農場近くの協力農家、従業員宅等でホームステイ,その他　朝夕：自炊（食材提供）・昼：農場で食べられます,有,真岡鉄道「茂木駅」より車で15分、JR線「宇都宮駅」より車で60分。※ 必要に応じて送迎いたします。,,農作業に適した服装,農業体験・理解者の増加、従業員の確保、体験生の確保,農業体験、就職先検討,
98,帰農志塾,戸松　正行,栃木県那須烏山市中山,http://www.kinousijyuku.com/,"4,500万円",9人,有機野菜約70品目、平飼養鶏卵、稲作,共生・自然・循環の生き方を広める,自然と野菜にいかに向き合うかが大切,通年可能：季節ごとの野菜の種まき・収穫など,通年可能：季節ごとの野菜の種まき・収穫など,,戸松　正行,通年可能：季節ごとの野菜の種まき・収穫など、養鶏、米,2日日〜,可,可,社宅・寮等,その他　スタッフや研修生と一緒,有,JR烏山駅からタクシーで15分,なくても可,,従業員の確保,農業体験、就職先検討,一生懸命物事に取り組む方
99,（有）あずま産直ねっと,松村　昭寿,群馬県伊勢崎市田部井町,http://www.azuma-sun.co.jp,"32,000万円",35人,施設野菜（苺、ミニトマト、大玉トマト、キュウリ、水菜他）、露地野菜（ネギ、キャベツ、白菜、大根、レタス他）の生産と販売、J-GAP認証農場,土作り、美味しい野菜作り、農業者の育成,多品目の輪作を徹底しています。特別栽培農産物認証に取組んでいます。,ミニトマト、大玉トマト、キュウリ、キャベツ、白菜、レタス、イチゴ、大根、ネギ、オクラ、ロマネスコ他,ミニトマト、大玉トマト、キュウリ、キャベツ、白菜、レタス、イチゴ、大根、ネギ、オクラ、ロマネスコ他,夏場は、自社高原農場の場合も有,松村久子,通年可能：多品目の播種、定植、収穫、管理、出荷調整　　農繁期：11～4月（ミニトマト・イチゴ収穫、ネギ・キャベツ播種、キャベツ・白菜・大根・ブロッコリー他収穫）,4日日〜,可,可,社宅・寮等,その他　昼は賄いさんの手料理、朝夕は自炊（食費補助）、近隣には店多数,有,JR両毛線　国定駅,,農作業に適した服装、雨合羽、水筒,その他　農業にやりがいを感じ、将来的に就農に結びついて欲しい,農業体験、就職先検討,とにかく農業の好きな人
100,蟻塚農園,吉澤　時彦,群馬県利根郡昭和村貝野瀬東中野,,4500万円,7人,グリーン、ホワイトアスパラ、ホーレン草、小松菜、とうもろこし,,わが農園は限りなく有機栽培です。,グリーン、ホワイトアスパラ、ホーレン草、小松菜、とうもろこし,グリーン、ホワイトアスパラ、ホーレン草、小松菜、とうもろこし,,吉澤時彦（東京農大卒）,通年可能、1～4月：アスパラの収穫・出荷・栽培管理、5～8月：ホーレン草、とうもろこし、小松菜の収穫、出荷、栽培管理、9～12月：ホーレン草、小松菜、アスパラ栽培管理,3日日〜,可,可,社宅・寮等,経営者等家族と一緒,有,上越線　岩本駅、沼田駅,,,農業体験・理解者の増加、従業員の確保、体験生の確保,,何事にも一生懸命になれる人
101,（有）大木プランティーション,大木　竹夫,群馬県館林市上三林西ノ谷,,"12,000万円",25人,サンチュ、ミツバ　施設栽培（水耕）,企業的に計画・栽培及び出荷,,サンチュ、ミツバ,サンチュ、ミツバ,栽培場所が何か所かある（現在6か所）,大木　竹夫,通年可能,2日日〜,可,可,社宅・寮等,自炊（食材提供）,有,,,,農業体験・理解者の増加、従業員の確保、体験生の確保,農業体験、就職先検討,熱意と創意のある人
102,Gleegreenふぁ～む（株）,提橋　佳子,群馬県みどり市大間々町塩原,,"2,000万円",6人,フキ、フキのとう、ナス、たらの芽、たまねぎ、にんにく、さつまいも、野菜の加工品,,,ナス、たらの芽,ナス、たらの芽,会社所在地近くハウス,岩本、高橋,通年可能,2日日〜,可,,,経営者等家族と一緒,有,大間々駅、赤城駅,,,農業体験・理解者の増加,農業体験,
103,グリンリーフ（株）、(株)野菜くらぶ,澤浦　彰治,群馬県利根郡昭和村赤城原,https://www.akn.jp/index.php,38億円（グループ合算）,200人,小松菜、ほうれん草、他,感動農業、人づくり、土づくり,小松菜、ほうれん草,,,,,5月～10月：作物の収穫、除草、選果作業,2日日〜,不可,可,社宅・寮等,その他　弁当又は家族と一緒、状況による,有,上越線　岩本駅,必要,,,農業体験、就職先検討,自然と共にする仕事の喜びと大変さを共有できる人
